feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23,class
10,38,7,23,47,0,3,3,3,1,0,4,18,6,3,1,7,2,13,6,14,27,4,0
11,38,8,23,10,0,1,0,1,0,0,1,4,2,0,0,1,0,3,2,5,7,1,0
12,38,8,23,50,0,8,7,1,0,0,17,25,6,2,0,6,1,14,5,9,17,5,0
13,38,9,23,21,0,3,3,1,2,0,3,7,5,1,0,3,1,6,2,4,7,3,0
14,38,9,23,21,0,1,1,2,0,0,0,7,3,0,2,1,1,6,3,7,13,2,0
15,38,10,23,14,0,1,1,2,0,0,2,7,1,3,1,0,1,3,1,3,7,2,0
16,38,11,23,17,1,2,2,1,0,0,3,7,3,0,0,1,0,5,3,4,6,2,0
17,38,11,23,31,1,0,0,0,1,0,0,15,2,4,0,5,1,9,2,8,15,2,0
18,38,12,23,31,1,5,5,1,1,0,8,11,7,0,1,3,2,6,5,9,16,4,0
19,38,13,23,15,0,5,5,0,1,0,6,10,1,0,0,0,1,5,1,3,4,1,0
20,38,14,23,19,0,2,2,1,0,0,2,7,4,1,0,3,0,6,2,4,6,1,0
21,38,14,23,11,0,2,2,1,0,1,2,3,2,0,1,1,0,3,2,3,8,1,0
22,38,15,23,28,0,1,1,2,1,0,2,6,4,6,0,2,1,6,2,6,13,4,0
23,38,15,23,36,0,0,0,1,0,0,2,10,6,4,1,6,2,10,5,11,22,2,0
24,38,16,23,21,0,0,0,1,0,0,0,6,4,2,0,4,0,5,4,9,17,2,0
25,38,16,23,59,0,0,0,1,0,0,1,15,13,6,2,8,1,13,10,17,35,3,0
26,38,17,23,24,0,3,3,3,1,0,2,8,5,1,1,6,0,6,3,7,13,4,0
27,38,18,23,31,0,3,2,2,2,2,4,12,4,2,0,5,0,8,4,10,18,5,0
28,38,18,23,10,0,1,1,1,0,0,0,4,2,1,1,1,0,4,2,4,8,2,0
29,38,18,23,9,0,0,0,0,0,0,0,3,1,0,0,1,0,2,1,2,5,1,0
30,38,19,23,20,0,0,0,0,0,2,0,6,2,2,0,3,1,4,2,4,8,2,0
31,38,20,23,27,0,2,1,1,1,0,3,10,5,3,1,1,0,8,5,11,18,3,0
32,38,21,23,12,0,1,1,1,0,0,3,5,1,2,0,1,0,3,1,3,4,2,0
33,38,21,23,27,0,3,3,2,0,0,5,9,5,1,1,4,0,7,4,8,15,4,0
34,38,21,23,21,0,3,2,2,0,1,4,9,4,1,0,3,0,5,4,7,12,3,0
35,38,22,23,28,0,4,4,2,0,0,7,11,5,2,1,3,1,7,4,7,13,6,0
36,38,23,23,26,0,6,3,1,1,0,9,11,4,4,1,4,0,7,3,7,13,7,0
37,38,23,23,30,0,3,2,1,0,0,5,12,3,5,0,4,1,9,3,7,14,4,0
38,38,23,23,26,0,4,4,1,0,0,11,15,3,1,1,2,0,7,3,7,11,3,0
1,44,1,26,9,0,0,0,0,0,0,0,4,2,0,1,1,0,2,2,4,7,2,0
2,44,2,26,38,0,3,3,4,1,0,10,18,3,3,2,3,0,9,3,8,18,5,0
3,44,3,26,27,1,2,2,3,1,0,2,10,4,2,0,2,0,7,4,8,15,5,1
4,44,3,26,36,0,1,1,2,3,1,1,13,5,2,0,6,1,8,4,7,14,7,1
5,44,4,26,27,0,2,2,2,0,0,3,9,4,1,2,4,1,7,4,9,17,5,0
6,44,4,26,15,0,0,0,0,0,0,0,3,5,2,0,1,1,3,3,6,9,1,0
7,44,5,26,29,0,1,1,1,0,0,1,6,5,4,0,3,1,6,4,8,20,2,0
8,44,6,26,26,0,3,3,2,2,0,4,12,2,1,0,5,1,8,2,5,8,4,1
9,44,7,26,32,0,2,2,2,0,0,3,14,5,2,1,2,2,7,5,11,21,5,1
10,44,7,26,32,1,2,2,1,1,0,3,8,8,1,2,3,2,6,8,11,22,3,0
11,44,8,26,10,0,0,0,0,0,0,0,3,2,2,0,2,0,3,1,3,4,1,0
12,44,8,26,19,0,0,0,1,0,0,0,6,4,1,0,2,1,5,3,7,11,3,0
13,44,8,26,35,0,1,1,1,1,3,2,11,2,2,2,6,2,8,2,8,23,2,0
14,44,9,26,37,0,2,2,1,0,0,4,11,8,1,0,5,1,9,7,12,22,4,0
15,44,10,26,37,0,1,1,0,0,0,0,10,6,5,0,3,2,9,5,13,25,2,0
16,44,11,26,30,1,2,2,0,0,0,1,10,5,3,0,5,1,8,4,7,14,3,0
17,44,12,26,16,0,0,0,0,0,0,0,4,1,2,1,3,1,4,1,3,9,1,0
18,44,12,26,27,0,3,3,3,1,1,6,11,5,0,2,3,2,7,5,9,15,5,0
19,44,13,26,16,0,0,0,2,1,0,0,8,1,1,1,2,1,4,1,4,8,4,0
20,44,13,26,39,0,4,4,3,2,2,7,13,7,2,0,3,2,9,6,10,16,5,0
21,44,14,26,43,0,2,2,3,0,0,6,13,8,4,2,4,0,7,7,13,29,5,1
22,44,14,26,23,0,3,2,1,0,1,9,13,3,1,1,1,1,6,3,6,9,2,1
23,44,15,26,40,1,4,4,2,0,0,8,14,8,3,1,5,1,9,6,9,16,5,0
24,44,16,26,30,0,4,1,1,1,0,3,11,5,0,1,4,0,8,5,10,21,4,0
25,44,16,26,13,1,0,0,0,0,0,0,5,1,1,2,0,1,5,1,4,8,1,0
26,44,17,26,23,0,3,1,2,0,0,5,10,4,1,1,2,1,7,4,6,11,5,0
27,44,17,26,23,0,0,0,0,0,0,1,8,5,1,1,2,1,5,4,8,12,1,0
28,44,18,26,40,0,6,3,1,0,0,8,13,5,7,0,8,2,8,4,8,19,4,0
29,44,19,26,30,0,2,2,0,0,0,1,12,4,2,1,6,0,9,4,9,15,3,0
30,44,19,26,14,0,0,0,1,1,0,0,4,3,1,0,2,0,3,2,3,5,2,0
31,44,19,26,11,0,1,1,0,0,0,0,4,2,2,1,1,0,3,1,3,4,2,0
32,44,20,26,17,0,2,2,2,0,0,3,8,1,0,2,4,0,4,1,3,8,4,0
33,44,20,26,22,0,4,3,0,0,0,9,10,5,0,1,3,0,4,3,7,13,2,0
34,44,21,26,53,0,5,5,1,0,1,10,22,8,4,1,6,1,15,8,14,27,6,0
35,44,21,26,14,0,1,1,3,0,0,3,7,2,1,0,2,0,5,2,3,5,2,0
36,44,22,26,23,0,1,2,3,1,0,4,11,5,1,1,3,0,5,4,7,12,4,0
37,44,22,26,29,0,0,0,0,0,0,0,10,5,2,1,4,0,9,4,9,15,2,0
38,44,22,26,22,0,1,1,0,0,0,1,9,2,2,0,2,0,5,2,6,12,2,0
39,44,23,26,6,0,1,1,0,0,0,1,3,1,0,0,0,0,2,1,3,4,1,0
40,44,24,26,17,0,0,0,2,0,0,0,6,1,2,0,3,0,5,1,3,5,2,0
41,44,24,26,16,0,0,0,0,0,0,0,1,4,0,1,2,0,1,3,4,14,1,0
42,44,25,26,27,0,3,3,3,1,0,4,8,5,2,1,1,1,6,5,9,16,4,0
43,44,26,26,33,0,1,0,2,1,0,3,12,4,6,1,5,0,8,3,6,12,3,0
44,44,26,26,18,0,1,1,3,0,0,3,6,3,3,0,3,0,4,2,4,8,3,0
1,31,1,9,13,0,2,1,2,0,0,2,5,1,1,1,3,0,4,1,3,6,1,0
2,31,1,9,22,0,2,1,1,0,0,2,9,2,4,2,0,0,6,2,7,16,3,0
3,31,1,9,12,0,1,1,2,1,1,3,5,1,3,0,1,1,3,1,3,5,1,0
4,31,2,9,50,0,1,1,1,0,0,1,20,4,5,4,4,1,10,4,8,21,1,0
5,31,3,9,12,0,0,0,0,0,0,0,3,1,1,0,3,0,3,1,2,7,1,0
6,31,3,9,17,0,0,0,0,0,0,1,7,1,2,1,3,0,5,1,4,10,0,0
7,31,3,9,30,0,1,1,0,1,0,2,8,3,3,5,6,1,6,3,9,26,1,0
8,31,3,9,39,0,2,2,1,0,0,3,12,3,5,3,3,3,9,3,9,24,1,0
9,31,3,9,12,0,0,0,0,0,0,1,1,1,3,2,2,0,1,1,2,10,1,0
10,31,4,9,29,0,2,2,1,1,0,1,9,6,2,1,2,2,8,6,10,18,2,0
11,31,4,9,31,0,1,0,3,2,1,2,6,6,3,4,3,1,4,5,8,22,3,0
12,31,4,9,14,0,2,2,0,1,0,2,6,1,0,2,2,0,4,1,5,11,1,0
13,31,4,9,28,0,1,2,0,1,0,3,9,7,1,1,2,1,4,7,10,21,2,0
14,31,4,9,32,0,0,0,1,0,0,1,10,2,6,1,5,2,9,2,7,18,0,0
15,31,5,9,18,0,1,1,1,0,0,1,5,4,2,1,3,0,5,4,8,13,2,0
